楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
897,傲仕门,傲仕门,傲仕门,商住楼,2,1,1,电信路28号,2,1,1,武侯区,东方,,500,2010,46,1.2,27420
,,,傲仕门公馆,,2,1,1,,,,,,,,,,,,
3536,,奥克斯广场,奥克斯广场,写字楼,6,3,3,锦城大道666号,0,0,0,高新区,南门,三环外,700,2014,33,2.5,22000
,,,奥克斯广场(写字楼),,19,4,4,,,,,,,,,,,,
3538,奥克斯广场商场,奥克斯广场（商场）,奥克斯广场（商场）,商住楼,12,1,1,锦城大道666号,12,1,1,高新区,南门,三环外,469,2010,45,2.5,29700
,,,奥克斯商场,,15,2,2,,,,,,,,,,,,
3537,奥克斯广场住宅,奥克斯广场（住宅）,奥克斯广场（住宅）,商住楼,16,7,7,锦城大道666号,0,0,0,高新区,南门,三环外,700,2012,45,2.5,29700
,,,奥克斯广场住宅楼,,16,7,7,,,,,,,,,,,,
4442,奥克斯国际寓所,奥克斯国际寓所,奥克斯国际寓所,商住楼,16,7,7,锦城大道666号,0,0,0,高新区,南门,三环外,700,2012,45,2.5,29700
4202,澳林春天,澳林春天,澳林春天,普通住宅,18,9,1,五里墩108号,18,9,1,金牛区,西门,二环至三环,684,2010,29,1.5,17600
,,,奥林春天,,18,9,1,,,,,,,,,,,,
2011,澳龙名城,澳龙名城,澳龙名城,高级住宅,40,25,10,牛沙北路171号,40,25,10,锦江区,东门,二环至三环,1500,2010,48,1.3,30030
,,,澳龙名城,,40,25,10,,,,,,,,,,,,
169,澳深花园,澳深花园,澳深花园,高级住宅,2,2,1,玉双路7号,0,0,0,成华区,东门,一环内,1178,2005,42,0.6,25200
4936,澳深天健园A区,澳深天健园A区,澳深天健园A区,普通住宅,0,15,4,建设北路三段259号,0,15,4,成华区,北门,一环至二环,500,2003,50,0.5,12240
4937,澳深天健园B区,澳深天健园B区,澳深天健园B区,普通住宅,0,3,1,建设北路三段261号,0,3,1,成华区,北门,一环至二环,500,2003,50,0.5,12240
5976,八二一新都小区,八二一新都小区,八二一新都小区,普通住宅,34,17,8,电子路段311号,34,17,8,新都区,,,2226,2010,20,0,6000
5962,八号公寓,八号公寓,八号公寓,普通住宅,4,2,1,三河承顺街178号,4,2,1,新都区,,,150,2013,20,0,6000
170,八里锦汇,八里锦汇,八里锦汇,高级住宅,4,2,2,桃林街5号,4,2,2,成华区,北门,二环至三环,933,2013,33,1.8,19800
4388,八里阳光,八里阳光,八里阳光,高级住宅,14,7,1,二环路东一段怡福巷13号,14,7,1,成华区,东门,二环至三环,1800,2007,30,2.5,25200
,,,八里阳光,,14,7,1,,,,,,,,,,,,
,,,八里阳光,,14,7,1,,,,,,,,,,,,
4078,八里阳光,八里阳光1栋,八里阳光,普通住宅,14,7,1,怡福巷13号,0,0,0,成华区,北门,二环至三环,522,2008,28,1.6,14940
3820,巴黎阳光,巴黎阳光,巴黎阳光,高级住宅,10,10,5,广福桥北街1号,11,23,5,武侯区,南门,二环至三环,588,2006,51,2.5,27389
,,,巴黎阳光,,11,11,5,,,,,,,,,,,,
,,,巴黎阳光,,0,23,4,,,,,,,,,,,,
376,白鸽岛尚商务办公区,白鸽岛尚商务办公区,白鸽岛尚商务办公区,商住楼,4,3,2,蜀西路69号,4,3,2,金牛区,西门,三环外,900,2011,43,1.6,25600
4408,白鸽岛尚住宅楼,白鸽岛尚住宅楼,白鸽岛尚住宅楼,高级住宅,32,16,9,蜀西路69号,37,18,11,金牛区,西门,三环外,420,2011,42,1.5,25600
,,,白鸽岛尚,,32,16,9,,,,,,,,,,,,
,,,白鸽岛尚,,37,18,11,,,,,,,,,,,,
1569,,白鹤二期,,普通住宅,,,,鹤祥路28号,0,0,0,锦江区,东门,三环外,1080,2013,50,1.2,10500
3556,白领尊邸,白领尊邸,白领尊邸,商住楼,4,2,1,西马道街40号,4,2,1,青羊区,北门,一环至二环,255,2001,50,1.2,14040
,,,白领尊邸,,4,2,2,,,,,,,,,,,,
,,,白领尊邸,,4,2,1,,,,,,,,,,,,
1171,白马寺小区,白马寺小区,白马寺小区,商住楼,12,8,4,武丁路9号,12,11,4,金牛区,北门,一环内,1400,2003,33,1.6,19950
,,,白马寺,,1,1,1,,,,,,,,,,,,
,,,白马寺小区,,12,11,4,,,,,,,,,,,,
3471,白云花园,白云花园,白云花园（成都）,高级住宅,26,13,13,高翔东路9号,26,13,13,武侯区,南门,二环至三环,1408,2011,42,1.7,27720
,,,白云花园,,26,13,13,,,,,,,,,,,,
6437,删除,白云花园（成都）,,高级住宅,,,,高翔东路9号,0,0,0,武侯区,,,2208,2004,0,0,16978
502,百花公寓,百花公寓,百花公寓,高级住宅,3,3,1,双元街175号,3,4,2,武侯区,西门,一环至二环,500,2000,30,0.8,18200
,,,百花公寓,,0,4,2,,,,,,,,,,,,
5062,百花公寓,百花公寓高层,百花公寓,高级住宅,3,3,1,锦里西路115号,3,3,1,青羊区,西门,一环至二环,500,2000,30,0.8,18200
4746,,百花丽都,百花丽都,普通住宅,0,8,2,少陵横街142号,0,8,2,武侯区,西门,一环至二环,500,2000,50,1.5,16000
4785,,百花商务楼,,商住楼,,,,一环路西一段160号,0,1,1,青羊区,西门,一环内,300,2002,43,0.8,27510
4786,,百花雅园,,高级住宅,,,,望仙场街1号,0,10,5,青羊区,西门,一环内,500,2007,43,0.5,27510
378,百佳庭院,百佳庭院,百佳庭院,高级住宅,7,7,1,一环路北三段123号,7,7,1,金牛区,北门,一环内,250,2007,35,0.8,21000
,,,百佳庭院,,7,7,1,,,,,,,,,,,,
3735,百丽大厦,百丽大厦,百丽大厦,写字楼,4,1,1,浆洗街1号,4,1,1,武侯区,南门,一环内,500,2007,50,5,25200
,,,百丽大厦,,3,1,1,,,,,,,,,,,,
6136,百伦广场,百伦广场,百伦广场,高级住宅,13,7,1,国宁东路69号,13,7,1,高新西区,,,933,2000,0,0,12138
4252,百脑汇电脑城,百脑汇,百脑汇,商住楼,2,1,1,磨子桥新南路118号,0,0,0,武侯区,南门,一环至二环,541,2000,50,10,24200
3201,百脑汇电脑城,百脑汇电脑城,百脑汇电脑城,商业中心,4,1,1,新南路118号,4,1,1,武侯区,南门,二环至三环,500,2000,40,1.6,26400
,,,百脑汇电脑城,,4,1,1,,,,,,,,,,,,
3472,百脑汇资讯广场,百脑汇资讯广场,百脑汇资讯广场,写字楼,4,2,1,新南路118号,0,0,0,武侯区,南门,一环内,500,2000,67,1.6,28000
6438,删除,百脑汇资讯广场1,,写字楼,,,,新南路123号,0,0,0,武侯区,,,1173,1999,0,0,20000
4731,百仁安盛,百仁安盛,百仁安盛,普通住宅,21,11,8,黄金东二路66号,21,11,8,金牛区,西门,三环外,792,2008,28,1.2,16000
,,,百仁安盛,,21,11,8,,,,,,,,,,,,
