云南省中国石化加油站网点.csv, 
普洱,63
临沧,42
丽江,33
保山,52
昭通,46
玉溪,90
曲靖,110
昆明,181
吉林省中国石化加油站网点.csv, 
延边,2
白城,4
松原,11
通化,7
辽源,3
四平,3
吉林,23
长春,22
四川省中国石化加油站网点.csv, 
阿坝州,5
遂宁,12
资阳,5
巴中,14
泸州,7
凉山,33
眉山,23
雅安,10
广安,10
宜宾,20
南充,9
乐山,41
内江,10
广元,3
攀枝花,25
自贡,8
德阳,35
绵阳,28
成都,106
安徽省中国石化加油站网点.csv, 
宣城,77
六安,93
阜阳,87
巢湖,48
淮南,47
池州,40
滁州,103
黄山,55
安庆,107
铜陵,29
淮北,38
马鞍山,48
蚌埠,76
芜湖,46
合肥,132
山东省中国石化加油站网点.csv, 
菏泽,169
滨州,129
临沂,256
莱芜,71
日照,105
威海,107
泰安,160
济宁,208
潍坊,383
烟台,219
东营,65
枣庄,88
淄博,231
青岛,309
济南,244
山西省中国石化加油站网点.csv, 
吕梁,103
运城,243
晋中,138
朔州,96
晋城,88
长治,164
阳泉,62
大同,96
太原,112
广东省中国石化加油站网点.csv, 
云浮,48
揭阳,62
潮州,42
清远,83
阳江,69
河源,95
汕尾,44
梅州,96
惠州,150
肇庆,122
茂名,109
湛江,115
江门,140
韶关,92
佛山,211
中山,72
东莞,147
汕头,47
珠海,60
深圳,167
广州,322
江苏省中国石化加油站网点.csv, 
淮安,81
泰州,108
宿迁,69
无锡,233
常州,129
连云港,121
徐州,198
盐城,89
扬州,107
南通,217
苏州,265
镇江,56
南京,230
江西省中国石化加油站网点.csv, 
新余,33
抚州,67
宜春,102
吉安,109
萍乡,47
鹰潭,20
九江,80
景德镇,31
南昌,62
河北省中国石化加油站网点.csv, 
衡水,173
沧州,289
秦皇岛,65
唐山,317
廊坊,115
承德,142
张家口,129
保定,314
邢台,178
邯郸,205
石家庄,316
河南省中国石化加油站网点.csv, 
驻马店,97
周口,139
信阳,109
商丘,132
南阳,225
三门峡,83
漯河,69
许昌,117
濮阳,105
焦作,99
新乡,158
鹤壁,54
安阳,141
平顶山,148
洛阳,200
开封,130
郑州,237
浙江省中国石化加油站网点.csv, 
义乌,20
丽水,100
台州,169
舟山,33
衢州,125
金华,180
绍兴,126
湖州,138
嘉兴,180
温州,135
宁波,196
杭州,331
海南省中国石化加油站网点.csv, 
陵水,7
昌江,11
白沙,1
五指山,4
文昌,20
万宁,16
屯昌县,4
琼海,16
东方,11
定安县,4
儋州,17
澄迈县,12
三亚,19
海口,53
湖北省中国石化加油站网点.csv, 
鄂州,27
孝感,93
仙桃,31
天门,24
潜江,28
十堰,61
黄冈,147
荆门,89
黄石,88
荆州,158
宜昌,195
武汉,237
湖南省中国石化加油站网点.csv, 
张家界,25
湘西,57
永州,71
郴州,85
娄底,64
益阳,55
邵阳,76
岳阳,74
衡阳,96
湘潭,58
株洲,81
常德,97
长沙,159
澳门特区中国石化加油站网点.csv, 
澳门,1
甘肃省中国石化加油站网点.csv, 
临夏,6
武威,2
酒泉,3
天水,2
白银,1
兰州,8
福建省中国石化加油站网点.csv, 
宁德,97
龙岩,137
南平,166
漳州,145
泉州,264
三明,85
莆田,35
厦门,45
福州,131
贵州省中国石化加油站网点.csv, 
铜仁,61
毕节,73
黔南,74
黔东南,62
黔西南,74
安顺,64
遵义,92
六盘水,55
贵阳,87
辽宁省中国石化加油站网点.csv, 
葫芦岛,14
朝阳,19
铁岭,18
盘锦,2
辽阳,9
阜新,10
营口,9
锦州,4
丹东,16
本溪,2
抚顺,15
鞍山,11
大连,26
沈阳,58
陕西省中国石化加油站网点.csv, 
商洛,6
安康,1
汉中,19
榆林,19
延安,5
渭南,22
铜川,13
咸阳,28
宝鸡,23
西安,51
青海省中国石化加油站网点.csv, 
海南州,7
海东,17
海西,3
海北,6
西宁,16
黑龙江省中国石化加油站网点.csv, 
黑河,3
鸡西,1
鹤岗,2
绥化,5
大庆,11
佳木斯,11
牡丹江,7
齐齐哈尔,2
哈尔滨,24
