城市,楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,状态,媒体类型,经营商户,电梯数,单元数,楼栋数,楼盘地址,禁忌行业,单价,电梯总数,单元总数,楼栋总数,促销价格,是否活动,媒体类型占比,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价,缩略图,大门图片,单元图片,电梯图片,经度,纬度,状态,资源录入时间,资源录入人员,操作时间,操作人员,楼盘备注
,,,,领峰,,禁用,电子屏,新潮,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4425,都市美邸住宅,都市美邸,都市美邸,商住楼,开启,电梯框架,框框广告,3,1,1,洗面桥35#,,99,3,1,1,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",武侯区,南门,一环内,420,2005,30,1.5,31500,./Uploads/thumb/2016-03-05/56da7bd359374.jpg,./Uploads/ico/2016-03-05/56da7bd359374.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.055736,30.640804,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分14秒,杨镰齐,
,,,,都市美邸,,禁用,电子屏,新潮,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,都市美邸,,开启,门贴,正合门道,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4993,都市美邸写字楼,都市美邸大厦,都市美邸大厦,写字楼,禁用,电子屏,新城南汇,0,0,1,洗面桥街35号,房产中介-商品房,99,0,0,0,0,0,a:0:{},武侯区,南门,一环内,500,2006,30,1.5,18270,./Uploads/thumb/2017-04-18/58f58b9b5b93a.jpg,./Uploads/ico/2017-04-18/58f58b9b5b93a.jpg,./Uploads/ico/2017-04-18/58f58b9b5bb74.jpg,./Uploads/ico/2017-04-18/58f58b9b5be46.jpg,104.05532,30.6411,禁用,2017年02月22日 13点57分03秒,yanglianqi,2017年12月20日 14点44分24秒,杨镰齐,
成都,4129,督院府邸,督院府邸,督院府邸,高级住宅,开启,电梯框架,华语传媒,5,5,5,老半边街14号,,99,5,5,5,0,0,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,一环内,400,2002,30,0.8,28000,./Uploads/ico/2017-05-09/m_59118275a14e3.png,./Uploads/ico/2017-05-09/59118275a14e3.png,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.074418,30.650843,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分08秒,杨镰齐,
,,,,督院府邸,,禁用,电子屏,新潮,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4718,杜甫花园商务楼,杜甫花园商务楼,杜甫花园商务楼,商住楼,开启,电梯框架,精视传媒,1,1,1,龙腾路2号,,99,1,1,1,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,西门,三环外,500,2006,40,2,24000,./Uploads/thumb/2017-03-23/58d367d28203b.jpg,./Uploads/ico/2017-03-23/58d367d28203b.JPG,./Uploads/ico/2017-03-23/58d367d2822dd.jpg,./Uploads/ico/2017-03-23/58d367d28266f.jpg,104.020027,30.65231,开启,2017年01月12日 13点35分34秒,yanglianqi,2017年12月20日 14点44分17秒,杨镰齐,
,,,,杜甫花园商务楼,,禁用,电子屏,新潮,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,5581,杜甫花园商务楼,杜甫商务楼,杜甫商务楼,高级住宅,开启,门贴,成都众燚,1,1,1,龙腾东路2号,,99,1,1,1,0,0,"a:1:{s:7:""media_3"";d:100;}",武侯区,东方,,68,1999,0,0,17528,./Uploads/ico/2018-05-18/m_5afe9e42daf6a.jpg,./Uploads/ico/2018-05-18/5afe9e42daf6a.jpg,,./Uploads/ico/2018-05-18/5afe9e46158dc.jpg,104.019474,30.653509,开启,1970年01月01日 08点00分00秒,,2018年05月18日 17点35分03秒,杨镰齐,
成都,933,杜鹃花园,杜鹃花园,杜鹃花园,普通住宅,开启,电梯框架,分众传媒,19,10,5,武青南路7号,,199,19,10,5,0,2,"a:1:{s:7:""media_1"";d:100;}",武侯区,东方,,327,2008,30,1.2,18000,./Uploads/thumb/2016-04-26/571f24a9d80d1.jpg,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,103.977868,30.641907,开启,2016年04月26日 11点47分17秒,yanglianqi,2018年04月10日 15点06分12秒,杨镰齐,
成都,1498,恩丽丝商务宾馆,恩丽丝商务宾馆,恩丽丝商务宾馆,商住楼,开启,电梯框架,框框广告,1,1,1,五块石蓉北商贸大道一段4号,,99,1,1,1,0,0,"a:1:{s:7:""media_1"";d:100;}",金牛区,北门,二环至三环,500,2012,30,1.6,18000,./Uploads/thumb/2016-06-29/57734f9aa3b08.jpg,./Uploads/ico/2016-06-29/57734f9aa3b08.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.06679,30.70113,开启,2016年06月29日 09点57分08秒,yanglianqi,2017年12月20日 14点43分36秒,杨镰齐,
成都,4369,恩威·玲珑南域,恩威·玲珑南域,玲珑南域,普通住宅,禁用,电子屏,新潮,42,21,5,新乐中街280号,,99,42,21,5,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",高新区,南门,二环至三环,1736,2012,32,1.5,21120,./Uploads/ico/2017-05-24/m_5924ebde144f4.jpg,./Uploads/ico/2017-05-24/5924ebde144f4.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.038638,30.609387,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分14秒,杨镰齐,
,,,,恩威玲珑南域,,开启,门贴,盛世华腾,42,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,恩威·玲珑南域,,开启,电梯框架,框框广告,16,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,玲珑南域,,开启,电梯框架,华语传媒,26,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4881,二十九所生活丙区,二十九所生活丙区,二十九所生活丙区,高级住宅,开启,等候区框架,厅阅传媒,0,30,10,营康西路488号,,99,0,30,10,0,0,"a:1:{s:7:""media_5"";d:100;}",金牛区,西门,二环至三环,300,2002,30,0.8,18200,./Uploads/thumb/2017-03-09/58c107aee9a2a.jpg,./Uploads/ico/2017-03-09/58c107aee9a2a.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.024912,30.694738,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分22秒,杨镰齐,多层住宅小区
成都,4882,二十九所生活丁区,二十九所生活丁区,二十九所生活丁区,高级住宅,开启,等候区框架,厅阅传媒,0,32,10,营康西路488号,,99,0,32,10,0,0,"a:1:{s:7:""media_5"";d:100;}",金牛区,西门,二环至三环,300,2002,30,0.8,18200,./Uploads/thumb/2017-03-09/58c107c8782db.jpg,./Uploads/ico/2017-03-09/58c107c8782db.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.0233,30.693032,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分22秒,杨镰齐,多层住宅小区
成都,4880,二十九所生活甲区,二十九所生活甲区,二十九所生活甲区,高级住宅,开启,等候区框架,厅阅传媒,0,13,6,营康西路493号,,99,0,13,6,0,0,"a:1:{s:7:""media_5"";d:100;}",金牛区,西门,二环至三环,300,2002,30,0.8,18200,./Uploads/thumb/2017-03-09/58c107a0c4b53.jpg,./Uploads/ico/2017-03-09/58c107a0c4b53.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.023613,30.696625,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分21秒,杨镰齐,多层住宅小区
成都,4879,二十九所生活乙区,二十九所生活乙区,二十九所生活乙区,高级住宅,开启,等候区框架,厅阅传媒,0,18,4,育才路27号,,99,0,18,4,0,0,"a:1:{s:7:""media_5"";d:100;}",金牛区,西门,二环至三环,300,2002,30,0.8,18200,./Uploads/thumb/2017-03-09/58c1078ee5be2.jpg,./Uploads/ico/2017-03-09/58c1078ee5be2.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.023295,30.699933,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分21秒,杨镰齐,多层住宅小区
成都,4946,发改委公寓,发改委公寓,发改委公寓,高级住宅,开启,电梯框架,新城南汇,40,20,20,天和街180号,房产中介-商品房,99,40,20,20,0,0,"a:1:{s:7:""media_1"";d:100;}",高新区,南门,三环外,500,2014,33,1,22000,./Uploads/thumb/2017-03-10/58c26895a2169.png,./Uploads/ico/2017-03-10/58c26895a2169.png,./Uploads/ico/2017-03-10/58c26895a23cc.jpg,./Uploads/ico/2017-03-10/58c26895a2508.jpg,104.076412,30.599548,开启,2017年02月22日 13点57分03秒,yanglianqi,2017年12月20日 14点44分23秒,杨镰齐,
成都,1201,方正花园,方正花园,方正花园,商住楼,开启,电梯框架,经典视线,2,1,1,方正街8号,,199,2,1,1,0,2,"a:2:{s:7:""media_1"";d:67;s:7:""media_3"";d:33;}",青羊区,东方,,500,2001,30,1.5,18900,./Uploads/thumb/2016-06-06/5754eb8637a10.jpg,./Uploads/ico/2016-06-06/5754eb8637a10.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.083339,30.668308,开启,2016年06月02日 18点31分57秒,yanglianqi,2018年05月17日 15点24分01秒,杨镰齐,
,,,,方正花园,,开启,门贴,成都众燚,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,方正花园,,开启,电梯框架,分众传媒,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,623,芳草地,芳草地,芳草地,高级住宅,开启,门贴,中广众易,24,23,6,桐梓林中路1号,,99,24,23,6,0,0,"a:2:{s:7:""media_1"";d:33;s:7:""media_3"";d:67;}",武侯区,南门,二环至三环,933,2005,44,1.2,26400,./Uploads/thumb/2016-03-05/56da7b77588a4.jpg,./Uploads/ico/2016-03-05/56da7b77588a4.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.064212,30.612869,开启,2016年03月04日 16点58分06秒,yanglianqi,2017年12月20日 14点43分23秒,杨镰齐,
,,,,芳草地,,开启,电梯框架,四川城市纵横传播有限公司,23,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,芳草地,,开启,门贴,成都众燚,22,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4892,芳草西街一号院,芳草西街一号院,,高级住宅,,,,,,,芳草西街1号,,99,0,3,1,0,0,"a:1:{s:7:""media_1"";d:100;}",高新区,南门,一环至二环,300,2002,37,0.8,24640,./Uploads/thumb/2017-03-09/58c108ba403bf.jpg,./Uploads/ico/2017-03-09/58c108ba403bf.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.050626,30.628741,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分22秒,杨镰齐,多层住宅小区
成都,745,飞大壹号广场,飞大壹号广场,飞大壹号广场,商住楼,开启,电梯框架,四川城市纵横传播有限公司,17,6,1,一环路北三段100号,,99,17,6,1,0,0,"a:1:{s:7:""media_1"";d:100;}",金牛区,北门,一环内,450,2014,35,2.8,21000,./Uploads/ico/2017-05-09/m_59118f42834d4.JPG,./Uploads/ico/2017-05-09/59118f42834d4.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.081452,30.681198,开启,2016年04月07日 15点24分54秒,yanglianqi,2017年12月20日 14点43分25秒,杨镰齐,
成都,4330,翡翠半岛,翡翠半岛,翡翠半岛,普通住宅,开启,电梯框架,分众传媒,14,7,7,中和街道老成仁路6号,,199,14,7,7,0,2,"a:2:{s:7:""media_1"";d:54;s:7:""media_3"";d:46;}",高新区,南门,三环外,792,2012,50,1.5,14740,./Uploads/thumb/2016-11-16/582c09c2168c4.jpg,./Uploads/ico/2016-11-16/582c09c2168c4.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.083384,30.538512,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分13秒,杨镰齐,
,,,,翡翠半岛国际社区,,禁用,电子屏,新潮,14,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,翡翠半岛国际社区,,开启,门贴,正合门道,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,86,翡翠宾馆,翡翠宾馆,,商业中心,,,,,,,花牌坊街157号,,99,0,0,0,0,0,a:0:{},金牛区,西门,一环内,681,2007,37,1.6,22260,./Uploads/thumb/2016-03-07/56dcedfd1396c.jpg,./Uploads/ico/2016-03-07/56dcedfd1396c.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.04784,30.678882,禁用,2016年03月04日 16点58分06秒,yanglianqi,2017年12月20日 14点43分18秒,杨镰齐,
成都,1850,翡翠海湾,翡翠海湾,翡翠海湾,普通住宅,开启,电梯框架,分众传媒,30,16,7,蜀跃东路138号,,199,30,16,7,0,2,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",金牛区,西门,三环外,1000,2007,50,1.5,15800,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.00672,30.703399,开启,2016年07月29日 10点47分19秒,yanglianqi,2017年12月20日 14点43分41秒,杨镰齐,
,,,,翡翠海湾,,开启,门贴,中广众易,30,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4759,翡翠家园,翡翠家园,翡翠家园,普通住宅,开启,等候区框架,厅阅传媒,0,11,3,芳华街54号,,99,0,11,3,0,0,"a:1:{s:7:""media_5"";d:100;}",武侯区,南门,二环至三环,500,2000,50,0.7,18040,./Uploads/thumb/2017-03-09/58c0efcd67999.jpg,./Uploads/ico/2017-03-09/58c0efcd67999.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.054456,30.621966,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分18秒,杨镰齐,多层住宅小区
成都,4597,翡翠琉璃,翡翠琉璃,翡翠琉璃,普通住宅,开启,电梯框架,分众传媒,10,4,2,经天西路17号,,199,23,23,7,0,2,"a:2:{s:7:""media_1"";d:30;s:7:""media_3"";d:70;}",锦江区,南门,二环至三环,1122,2013,50,1.6,15840,./Uploads/thumb/2016-11-17/582d7a4035bd5.jpg,./Uploads/ico/2016-11-17/582d7a4035bd5.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.103145,30.601103,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分17秒,杨镰齐,
,,,,正成翡翠琉璃,,禁用,电子屏,新潮,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,正成翡翠琉璃,,开启,门贴,中广众易,23,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4496,丰德国际,丰德国际,丰德国际,写字楼,禁用,电子屏,分众传媒,17,11,5,航空路6号,,99,0,0,0,0,0,a:0:{},武侯区,南方,,980,2014,30,7,19800,./Uploads/ico/2018-06-07/m_5b18c8120da05.jpg,./Uploads/ico/2018-06-07/5b18c8120da05.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.070173,30.615618,禁用,1970年01月01日 08点00分00秒,yanglianqi,2018年06月15日 16点16分40秒,杨镰齐,
成都,5050,丰德万瑞中心,丰德万瑞中心,丰德万瑞中心,高级住宅,禁用,电子屏,分众传媒,6,2,2,新希望路7号,,99,0,0,0,0,0,a:0:{},武侯区,东方,,781,2003,30,1.2,19800,./Uploads/ico/2018-06-07/m_5b18c72e5a450.jpg,./Uploads/ico/2018-06-07/5b18c72e5a450.jpg,./Uploads/ico/2017-03-23/58d367656bc90.jpg,./Uploads/ico/2017-03-23/58d367656bf7d.jpg,104.07131,30.615784,禁用,2017年06月07日 15点01分57秒,yanglianqi,2018年06月15日 16点15分53秒,杨镰齐,
成都,5948,丰和日丽三期,丰和日丽三期,丰和日丽三期,普通住宅,开启,电梯框架,飞廉传媒,14,8,3,大丰花都大道821号,,99,14,8,3,0,0,"a:1:{s:7:""media_1"";d:100;}",新都区,,,640,2012,20,0,6000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.055811,30.760838,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,1732,丰尚,丰尚,丰尚,商住楼,开启,电梯框架,分众传媒,8,8,5,永丰路47号,,199,8,8,5,0,2,"a:1:{s:7:""media_1"";d:100;}",高新区,南门,一环至二环,360,2006,29,2.5,19140,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.048015,30.62641,开启,2016年07月29日 10点47分19秒,yanglianqi,2017年12月20日 14点43分39秒,杨镰齐,
成都,624,丰尚,丰尚玉林商务港,丰尚玉林商务港,商住楼,开启,电梯框架,精视传媒,3,1,1,永丰路47号,诊所/药房-医美整形-综合医院-专科医院-药品保健品-服装配饰,99,3,1,1,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,南门,一环至二环,1333,2007,44,1.6,26400,./Uploads/thumb/2016-03-05/56da7b54ab6b7.jpg,./Uploads/ico/2016-03-05/56da7b54ab6b7.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.047621,30.626556,开启,2016年03月04日 16点58分06秒,yanglianqi,2017年12月20日 14点43分23秒,杨镰齐,
成都,5946,丰怡阳光,丰怡阳光,丰怡阳光,普通住宅,开启,电梯框架,飞廉传媒,26,17,6,大丰崇意桥187号,,99,26,17,6,0,0,"a:1:{s:7:""media_1"";d:100;}",新都区,,,800,2013,20,0,6000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.050674,30.758581,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,4764,丰苑,丰苑,,普通住宅,,,,,,,永盛南街5号,,99,0,5,1,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,南门,三环外,500,2012,50,1,12100,./Uploads/thumb/2017-03-09/58c0fb7826774.jpg,./Uploads/ico/2017-03-09/58c0fb7826774.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.02783,30.636675,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分18秒,杨镰齐,多层住宅小区
成都,4947,风华苑,风华苑,风华苑,高级住宅,开启,电梯框架,新城南汇,24,12,6,新光路7号,房产中介-商品房,99,24,12,6,0,0,"a:2:{s:7:""media_1"";d:77;s:7:""media_3"";d:23;}",武侯区,南门,二环至三环,476,2003,33,1.2,24200,./Uploads/thumb/2017-03-10/58c268ca1be83.png,./Uploads/ico/2017-03-10/58c268ca1be83.png,./Uploads/ico/2017-03-10/58c268ca1c143.jpg,./Uploads/ico/2017-03-10/58c268ca1c283.jpg,104.058795,30.612997,开启,2017年02月22日 13点57分03秒,yanglianqi,2017年12月20日 14点44分23秒,杨镰齐,
,,,,风华苑,,开启,门贴,成都众燚,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,1851,风林假日,风林假日,风林假日,普通住宅,开启,电梯框架,分众传媒,4,4,1,蜀西路20号,,199,4,4,1,0,2,"a:1:{s:7:""media_1"";d:100;}",金牛区,西门,三环外,348,2005,50,0.6,16000,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.003494,30.705863,开启,2016年07月29日 10点47分19秒,yanglianqi,2017年12月20日 14点43分41秒,杨镰齐,
成都,3479,风尚国际锦屏苑,风尚国际锦屏苑,风尚国际锦屏苑,商住楼,开启,电梯框架,分众传媒,21,11,6,高升桥南街2号,,199,21,11,6,0,2,"a:1:{s:7:""media_1"";d:100;}",武侯区,南门,一环至二环,672,2004,33,1.5,22000,./Uploads/thumb/2017-03-23/58d37b4830ef0.jpg,./Uploads/ico/2017-03-23/58d37b4830ef0.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.040283,30.634058,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点43分57秒,杨镰齐,
,,,,风尚国际锦屏苑,,禁用,电子屏,博景传媒,21,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,6090,枫丹国际住宅,枫丹国际（住宅）,枫丹国际（住宅）,高级住宅,开启,电梯框架,分众传媒,4,1,1,交子北一路88号,,199,4,1,1,0,2,"a:1:{s:7:""media_1"";d:100;}",高新区,,,810,1998,0,0,24585,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.06345,30.5849,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,2394,枫丹国际住宅,枫丹国际住宅,枫丹国际（住宅）,普通住宅,开启,电梯框架,分众传媒,4,1,1,交子北二路临3号,,199,4,1,1,0,2,"a:1:{s:7:""media_1"";d:100;}",高新区,南门,三环外,356,2015,31,2.5,18480,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.063161,30.585094,开启,2016年08月03日 17点19分40秒,yanglianqi,2017年12月20日 14点43分51秒,杨镰齐,
成都,5701,枫渡莱茵二期,枫渡莱茵二期,枫渡莱茵二期,普通住宅,开启,电梯框架,飞廉传媒,6,6,2,滨河路二段201号,,99,6,6,2,0,0,"a:1:{s:7:""media_1"";d:100;}",天府新区,,,198,2007,27,0,8000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.051136,30.521331,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,5702,枫渡莱茵一期,枫渡莱茵一期,枫渡莱茵一期,普通住宅,开启,等候区框架,飞廉传媒,0,21,7,滨河路二段201号,,99,0,21,7,0,0,"a:1:{s:7:""media_5"";d:100;}",天府新区,,,198,2007,27,0,8000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.051136,30.521331,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,4079,枫景雅居,枫景雅居,枫景雅居,普通住宅,开启,电梯框架,经典视线,10,10,2,双林南支路28号,,99,10,10,2,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",成华区,东门,一环至二环,500,2007,32,15,20370,./Uploads/ico/2017-05-11/m_5913c6b047d5c.jpg,./Uploads/ico/2017-05-11/5913c6b047d5c.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.112915,30.650248,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分07秒,杨镰齐,
,,,,枫景雅居,,禁用,电子屏,每多力,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,枫景雅居,,开启,门贴,中广众易,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4902,枫林苑,枫林苑,枫林苑,普通住宅,开启,等候区框架,厅阅传媒,0,21,7,神仙树西路2号,,99,0,21,7,0,0,"a:1:{s:7:""media_5"";d:100;}",高新区,南门,二环至三环,380,2000,29,0.5,19360,./Uploads/thumb/2017-03-09/58c10c9311384.jpg,./Uploads/ico/2017-03-09/58c10c9311384.JPG,./Uploads/ico/2017-03-10/58c27e6fc78b2.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.044371,30.620725,开启,2017年01月12日 17点32分10秒,yanglianqi,2017年12月20日 14点44分22秒,杨镰齐,多层住宅小区
成都,3853,枫桥晓月,枫桥晓月,枫桥晓月,商住楼,开启,电梯框架,分众传媒,3,1,1,花牌坊街8号,,199,3,1,1,0,2,"a:1:{s:7:""media_1"";d:100;}",金牛区,西门,一环内,260,2005,30,1.2,19110,./Uploads/thumb/2016-11-08/58219fcd99107.jpg,./Uploads/ico/2016-11-08/58219fcd99107.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.047776,30.677836,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分05秒,杨镰齐,
成都,5712,枫桥映月二期,枫桥映月二期,枫桥映月二期,普通住宅,开启,电梯框架,飞廉传媒,6,6,2,劝学路81号,,99,6,6,2,0,0,"a:1:{s:7:""media_1"";d:100;}",天府新区,,,100,2008,27,0,8000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.050837,30.508634,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,5713,枫桥映月一期,枫桥映月一期,枫桥映月一期,普通住宅,开启,等候区框架,飞廉传媒,0,16,5,劝学路81号,,99,0,16,5,0,0,"a:1:{s:7:""media_5"";d:100;}",天府新区,,,192,2008,27,0,8000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,104.050837,30.508634,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
