城市,楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,状态,媒体类型,经营商户,电梯数,单元数,楼栋数,楼盘地址,禁忌行业,单价,电梯总数,单元总数,楼栋总数,促销价格,是否活动,媒体类型占比,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价,缩略图,大门图片,单元图片,电梯图片,经度,纬度,状态,资源录入时间,资源录入人员,操作时间,操作人员,楼盘备注
成都,5673,8号公馆一期,8号公馆一期,8号公馆一期,高级住宅,开启,电梯框架,飞廉传媒,10,10,5,光华大道三段南侧清泉南街168号,商品房,99,10,10,5,0,0,"a:1:{s:7:""media_1"";d:100;}",温江区,东方,,232,2012,0,0,8000,./Uploads/ico/2018-06-01/m_5b111887cc3fe.jpg,./Uploads/ico/2018-06-01/5b111887cc3fe.jpg,,./Uploads/ico/2018-06-01/5b11188d5c0f6.jpg,103.87453,30.676563,开启,1970年01月01日 08点00分00秒,,2018年06月01日 17点57分35秒,杨镰齐,
成都,5082,A世界大厦,A世界大厦,A世界大厦,写字楼,禁用,电子屏,新潮,6,2,2,一环路南二段8号,,99,0,0,0,0,0,a:0:{},武侯区,南门,二环至三环,500,2006,60,16,33000,./Uploads/ico/2017-06-14/m_5940f4c33246b.jpg,./Uploads/ico/2017-06-14/5940f4c33246b.jpg,./Uploads/ico/2017-06-14/5940f4c338978.jpg,./Uploads/ico/2017-06-14/5940f4c33e90b.jpg,104.067367,30.633987,禁用,2017年06月07日 15点01分58秒,yanglianqi,2017年12月20日 14点44分26秒,杨镰齐,
成都,3683,A世界电脑商城,A世界电脑商城,A世界电脑商城,商住楼,开启,电梯框架,精视传媒,6,2,2,人南二段17号,,99,6,2,2,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,南门,一环至二环,607,2004,53,1.6,34760,./Uploads/thumb/2016-03-05/56da7ff55ad2e.jpg,./Uploads/ico/2016-03-05/56da7ff55ad2e.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.067396,30.634075,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分01秒,杨镰齐,
,,,,A世界,,禁用,电子屏,每多力,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,4266,COLOUR彼岸,COLOUR彼岸,Colour彼岸,高级住宅,开启,电梯框架,四川城市纵横传播有限公司,3,2,1,致民东路13号,,99,3,2,1,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",锦江区,东门,一环内,500,2002,30,1.2,21000,./Uploads/thumb/2016-04-07/57061a31a5905.jpg,./Uploads/ico/2016-04-07/57061a31a5905.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.085757,30.641206,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分11秒,杨镰齐,
,,,,Colour彼岸,,禁用,电子屏,新潮,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Colour彼岸,,开启,门贴,成都众燚,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,3234,DOT起跑线,DOT起跑线,DOT起跑线,写字楼,开启,电梯框架,经典视线,2,1,1,成渝立交外侧,,99,2,1,1,0,0,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,二环至三环,340,2015,50,5,13650,./Uploads/ico/2017-05-11/m_5913e189e5750.jpg,./Uploads/ico/2017-05-11/5913e189e5750.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.150935,30.627735,开启,2016年09月07日 17点52分52秒,yanglianqi,2017年12月20日 14点43分53秒,杨镰齐,
成都,3792,E商务空间,E商务空间,E商务空间,商住楼,开启,电梯框架,四川城市纵横传播有限公司,1,1,1,清江东路356号,,99,1,1,1,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",青羊区,北门,一环至二环,586,2008,50,1.6,14400,./Uploads/thumb/2016-03-07/56dcfb8ade815.jpg,./Uploads/ico/2016-03-07/56dcfb8ade815.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.024692,30.670078,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分03秒,杨镰齐,
,,,,E商务空间,,开启,门贴,成都众燚,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
